text,chest_pain,shortness_of_breath,palpitations,exercise_worse,hypertension,dizziness,sweating,fatigue,swelling,orthopnea
أشعر أنني سأفقد التوازن. I am not sweating heavily,-1,-1,-1,-1,-1,1,0,-1,-1,-1
لدي دوار. لدي خفقان,-1,-1,1,-1,-1,1,-1,-1,-1,-1
لدي دوار، وضغط دمي مرتفع,-1,-1,-1,-1,1,1,-1,-1,-1,-1
I feel dizzy لكن لا أشعر بضيق في التنفس,-1,0,-1,-1,-1,1,-1,-1,-1,-1
"I feel dizzy. Also, لا أعاني من صعوبة بالتنفس",-1,0,-1,-1,-1,1,-1,-1,-1,-1
I am lightheaded لكن I am not sweating heavily,-1,-1,-1,-1,-1,1,0,-1,-1,-1
I am lightheaded. my chest hurts,1,-1,-1,-1,-1,1,-1,-1,-1,-1
"لا أشعر بالدوخة. Also, I feel unusually tired",-1,-1,-1,-1,-1,0,-1,1,-1,-1
لا أشعر بالدوخة لكن دقات قلبي غير منتظمة,-1,-1,1,-1,-1,0,-1,-1,-1,-1
"لا يوجد دوار. Also, أرتاح في التنفس عندما أجلس",-1,-1,-1,-1,-1,0,-1,-1,-1,1
لا يوجد دوار. أعاني من الضغط المرتفع,-1,-1,-1,-1,1,0,-1,-1,-1,-1
"توازني طبيعي. Also, أعاني من الضغط المرتفع",-1,-1,-1,-1,1,0,-1,-1,-1,-1
"توازني طبيعي. Also, أشعر بتعب شديد",-1,-1,-1,-1,-1,0,-1,1,-1,-1
I am not dizzy، وno increased sweating,-1,-1,-1,-1,-1,0,0,-1,-1,-1
I am not dizzy لكن تعرق شديد,-1,-1,-1,-1,-1,0,1,-1,-1,-1
no lightheadedness، وno history of high blood pressure,-1,-1,-1,-1,0,0,-1,-1,-1,-1
"no lightheadedness. Also, I breathe normally",-1,0,-1,-1,-1,0,-1,-1,-1,-1
"أتعرق أكثر من المعتاد. Also, no leg swelling",-1,-1,-1,-1,-1,-1,1,-1,0,-1
أتعرق أكثر من المعتاد لكن لا يوجد تورم في القدمين,-1,-1,-1,-1,-1,-1,1,-1,0,-1
لدي تعرق شديد لكن أشعر بألم في صدري عند صعود الدرج,1,-1,-1,1,-1,-1,1,-1,-1,-1
لدي تعرق شديد لكن لدي دوار,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"تعرق شديد. Also, أتعب بسرعة",-1,-1,-1,-1,-1,-1,1,1,-1,-1
تعرق شديد، وتم تشخيصي بارتفاع الضغط,-1,-1,-1,-1,1,-1,1,-1,-1,-1
أشعر بعرق غزير. لا أعاني من صعوبة بالتنفس,-1,0,-1,-1,-1,-1,1,-1,-1,-1
أشعر بعرق غزير، وأتنفس طبيعيًا وأنا مستلق,-1,-1,-1,-1,-1,-1,1,-1,-1,0
زاد التعرق بشكل واضح لكن my ankles are swollen,-1,-1,-1,-1,-1,-1,1,-1,1,-1
زاد التعرق بشكل واضح، ولا أعاني من صعوبة بالتنفس,-1,0,-1,-1,-1,-1,1,-1,-1,-1
I am sweating heavily. توازني طبيعي,-1,-1,-1,-1,-1,0,1,-1,-1,-1
I am sweating heavily. الاستلقاء لا يزيد ضيق النفس,-1,-1,-1,-1,-1,-1,1,-1,-1,0
"significantly increased sweating. Also, صدري يؤلمني",1,-1,-1,-1,-1,-1,1,-1,-1,-1
significantly increased sweating لكن no shortness of breath,-1,0,-1,-1,-1,-1,1,-1,-1,-1
لا يوجد تعرق زائد لكن ألاحظ انتفاخ الكاحلين,-1,-1,-1,-1,-1,-1,0,-1,1,-1
"لا يوجد تعرق زائد. Also, لا يوجد تسارع في القلب",-1,-1,0,-1,-1,-1,0,-1,-1,-1
"لا أتعرق أكثر من المعتاد. Also, لا يوجد ضيق نفس",-1,0,-1,-1,-1,-1,0,-1,-1,-1
لا أتعرق أكثر من المعتاد، وتنفسي طبيعي,-1,0,-1,-1,-1,-1,0,-1,-1,-1
ليس لدي عرق غزير. لا أعاني من الضغط,-1,-1,-1,-1,0,-1,0,-1,-1,-1
ليس لدي عرق غزير، والأعراض أسوأ وأنا مستلق,-1,-1,-1,-1,-1,-1,0,-1,-1,1
"no increased sweating. Also, أرتاح في التنفس عندما أجلس",-1,-1,-1,-1,-1,-1,0,-1,-1,1
no increased sweating. تم تشخيصي بارتفاع الضغط,-1,-1,-1,-1,1,-1,0,-1,-1,-1
I am not sweating heavily، وI breathe normally,-1,0,-1,-1,-1,-1,0,-1,-1,-1
I am not sweating heavily، ولا أعاني من الضغط,-1,-1,-1,-1,0,-1,0,-1,-1,-1
أشعر بتعب شديد. دقات قلبي منتظمة,-1,-1,0,-1,-1,-1,-1,1,-1,-1
"أشعر بتعب شديد. Also, I am sweating heavily",-1,-1,-1,-1,-1,-1,1,1,-1,-1
تعب شديد لكن لا أعاني من الضغط,-1,-1,-1,-1,0,-1,-1,1,-1,-1
تعب شديد، ولدي ارتفاع في ضغط الدم,-1,-1,-1,-1,1,-1,-1,1,-1,-1
أتعب بسرعة. no hypertension,-1,-1,-1,-1,0,-1,-1,1,-1,-1
أتعب بسرعة لكن أتنفس طبيعيًا وأنا مستلق,-1,-1,-1,-1,-1,-1,-1,1,-1,0
لدي إرهاق غير معتاد، ولا أشعر بخفقان,-1,-1,0,-1,-1,-1,-1,1,-1,-1
لدي إرهاق غير معتاد. ضغط دمي مرتفع,-1,-1,-1,-1,1,-1,-1,1,-1,-1
"طاقتي منخفضة. Also, my ankles are swollen",-1,-1,-1,-1,-1,-1,-1,1,1,-1
طاقتي منخفضة. ضغط دمي مرتفع,-1,-1,-1,-1,1,-1,-1,1,-1,-1
I feel unusually tired لكن chest pain,1,-1,-1,-1,-1,-1,-1,1,-1,-1
I feel unusually tired. ليس لدي وجع بالصدر,0,-1,-1,-1,-1,-1,-1,1,-1,-1
"severe fatigue. Also, لا أعاني من الضغط",-1,-1,-1,-1,0,-1,-1,1,-1,-1
severe fatigue، ويضيق نفسي عندما أستلقي,-1,-1,-1,-1,-1,-1,-1,1,-1,1
"لا أشعر بتعب. Also, أتعرق أكثر من المعتاد",-1,-1,-1,-1,-1,-1,1,0,-1,-1
لا أشعر بتعب لكن أحس بدوار خفيف,-1,-1,-1,-1,-1,1,-1,0,-1,-1
"طاقتي طبيعية. Also, لا أعاني من صعوبة بالتنفس",-1,0,-1,-1,-1,-1,-1,0,-1,-1
"طاقتي طبيعية. Also, my ankles are swollen",-1,-1,-1,-1,-1,-1,-1,0,1,-1
ليس لدي إرهاق. not worse when lying down,-1,-1,-1,-1,-1,-1,-1,0,-1,0
ليس لدي إرهاق. أحس بدوار خفيف,-1,-1,-1,-1,-1,1,-1,0,-1,-1
"no fatigue. Also, I am not sweating heavily",-1,-1,-1,-1,-1,-1,0,0,-1,-1
no fatigue لكن لا أتعرق أكثر من المعتاد,-1,-1,-1,-1,-1,-1,0,0,-1,-1
I do not feel tired. swelling in my legs,-1,-1,-1,-1,-1,-1,-1,0,1,-1
I do not feel tired، وexertional chest pain,1,-1,-1,1,-1,-1,-1,0,-1,-1
"لدي تورم في القدمين. Also, history of high blood pressure",-1,-1,-1,-1,1,-1,-1,-1,1,-1
لدي تورم في القدمين، وI breathe normally,-1,0,-1,-1,-1,-1,-1,-1,1,-1
تورم في القدمين. my heart is racing,-1,-1,1,-1,-1,-1,-1,-1,1,-1
تورم في القدمين، وتزداد الأعراض عند الاستلقاء وتتحسن عند الجلوس,-1,-1,-1,-1,-1,-1,-1,-1,1,1
ساقاي متورمتان، وضيق في التنفس,-1,1,-1,-1,-1,-1,-1,-1,1,-1
ساقاي متورمتان لكن طاقتي منخفضة,-1,-1,-1,-1,-1,-1,-1,1,1,-1
ألاحظ انتفاخ الكاحلين، وأشعر بعرق غزير,-1,-1,-1,-1,-1,-1,1,-1,1,-1
ألاحظ انتفاخ الكاحلين، وno fatigue,-1,-1,-1,-1,-1,-1,-1,0,1,-1
يوجد تورم بالساق لكن لا تسوء الأعراض عند الاستلقاء,-1,-1,-1,-1,-1,-1,-1,-1,1,0
يوجد تورم بالساق لكن significantly increased sweating,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"my ankles are swollen. Also, يوجد وجع بالصدر",1,-1,-1,-1,-1,-1,-1,-1,1,-1
"my ankles are swollen. Also, my heart is racing",-1,-1,1,-1,-1,-1,-1,-1,1,-1
"swelling in my legs. Also, لدي دوار",-1,-1,-1,-1,-1,1,-1,-1,1,-1
swelling in my legs، وsevere fatigue,-1,-1,-1,-1,-1,-1,-1,1,1,-1
"لا يوجد تورم في القدمين. Also, أشعر بألم في صدري عند صعود الدرج",1,-1,-1,1,-1,-1,-1,-1,0,-1
"لا يوجد تورم في القدمين. Also, my chest hurts",1,-1,-1,-1,-1,-1,-1,-1,0,-1
ساقاي غير متورمتين. no increased sweating,-1,-1,-1,-1,-1,-1,0,-1,0,-1
"ساقاي غير متورمتين. Also, لدي خفقان",-1,-1,1,-1,-1,-1,-1,-1,0,-1
لا أعاني من انتفاخ الكاحل، وأشعر بضيق في التنفس,-1,1,-1,-1,-1,-1,-1,-1,0,-1
"لا أعاني من انتفاخ الكاحل. Also, لا يوجد تعرق زائد",-1,-1,-1,-1,-1,-1,0,-1,0,-1
"no leg swelling. Also, I have hypertension",-1,-1,-1,-1,1,-1,-1,-1,0,-1
"no leg swelling. Also, difficulty breathing",-1,1,-1,-1,-1,-1,-1,-1,0,-1
my ankles are not swollen. I am lightheaded,-1,-1,-1,-1,-1,1,-1,-1,0,-1
my ankles are not swollen لكن I breathe normally,-1,0,-1,-1,-1,-1,-1,-1,0,-1
تزداد الأعراض عند الاستلقاء وتتحسن عند الجلوس. no symptoms on exertion,-1,-1,-1,0,-1,-1,-1,-1,-1,1
تزداد الأعراض عند الاستلقاء وتتحسن عند الجلوس لكن نفسي قصير,-1,1,-1,-1,-1,-1,-1,-1,-1,1
الأعراض تسوء عند الاستلقاء. صدري لا يؤلمني,0,-1,-1,-1,-1,-1,-1,-1,-1,1
"الأعراض تسوء عند الاستلقاء. Also, تم تشخيصي بارتفاع الضغط",-1,-1,-1,-1,1,-1,-1,-1,-1,1
"يضيق نفسي عندما أستلقي. Also, no palpitations",-1,-1,0,-1,-1,-1,-1,-1,-1,1
يضيق نفسي عندما أستلقي. دقات قلبي منتظمة,-1,-1,0,-1,-1,-1,-1,-1,-1,1
أرتاح في التنفس عندما أجلس، وno increased sweating,-1,-1,-1,-1,-1,-1,0,-1,-1,1
"أرتاح في التنفس عندما أجلس. Also, ألم في صدري عندما أبذل مجهودا",1,-1,-1,1,-1,-1,-1,-1,-1,1
الأعراض أسوأ وأنا مستلق لكن no hypertension,-1,-1,-1,-1,0,-1,-1,-1,-1,1
"الأعراض أسوأ وأنا مستلق. Also, لا يوجد تورم في القدمين",-1,-1,-1,-1,-1,-1,-1,-1,0,1
"symptoms are worse lying down and improve sitting up. Also, I feel dizzy",-1,-1,-1,-1,-1,1,-1,-1,-1,1
symptoms are worse lying down and improve sitting up، وتم تشخيصي بارتفاع الضغط,-1,-1,-1,-1,1,-1,-1,-1,-1,1
breathless when lying flat، وأتعرق أكثر من المعتاد,-1,-1,-1,-1,-1,-1,1,-1,-1,1
breathless when lying flat لكن زاد التعرق بشكل واضح,-1,-1,-1,-1,-1,-1,1,-1,-1,1
لا تسوء الأعراض عند الاستلقاء لكن no hypertension,-1,-1,-1,-1,0,-1,-1,-1,-1,0
"لا تسوء الأعراض عند الاستلقاء. Also, no chest pain",0,-1,-1,-1,-1,-1,-1,-1,-1,0
أتنفس طبيعيًا وأنا مستلق لكن no history of high blood pressure,-1,-1,-1,-1,0,-1,-1,-1,-1,0
أتنفس طبيعيًا وأنا مستلق لكن exercise does not make symptoms worse,-1,-1,-1,0,-1,-1,-1,-1,-1,0
الاستلقاء لا يزيد ضيق النفس. my heartbeat feels regular,-1,-1,0,-1,-1,-1,-1,-1,-1,0
الاستلقاء لا يزيد ضيق النفس لكن لدي ارتفاع في ضغط الدم,-1,-1,-1,-1,1,-1,-1,-1,-1,0
not worse when lying down لكن لا يوجد تسارع في القلب,-1,-1,0,-1,-1,-1,-1,-1,-1,0
not worse when lying down، ولا أتعرق أكثر من المعتاد,-1,-1,-1,-1,-1,-1,0,-1,-1,0
I can breathe lying flat لكن يوجد تورم بالساق,-1,-1,-1,-1,-1,-1,-1,-1,1,0
I can breathe lying flat لكن my heartbeat feels irregular,-1,-1,1,-1,-1,-1,-1,-1,-1,0
